,عنوان,مدرس,آموزشگاه,لینک,قیمت,ساعت,جلسات
5,آموزش ASP.NET Core,رامین محمدحسینی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-asp-net-core-mk1290/,349000,0,234
22,آموزش Asynchronous در جاوا اسکریپت,علی شیخ,وب ‌پروگ,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Asynchronous-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-mk1120/,0,0,50
59,آموزش C# مقدماتی,مهدی مرادی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%B3%DB%8C-%D8%B4%D8%A7%D8%B1%D9%BE-mk669/,259000,0,100
45,آموزش Clean Code,احسان گازار,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-Clean-Code-mk1125/,59000,0,48
71,آموزش Front-End با React JS,,,https://maktabkhooneh.org/career/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Front-End-React-JS-mk23/,0,0,0
48,آموزش Matplotlib,حمیدرضا حسین‌خانی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Matplotlib-mk724/,0,0,16
35,آموزش Node.js,احسان گازار,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-node-js-mk1313/,259000,0,124
54,آموزش NumPy,حمیدرضا حسین‌خانی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-NumPy-mk725/,0,0,16
43,آموزش Pandas,حمیدرضا حسین‌خانی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Pandas-mk727/,0,0,10
38,آموزش React JS مقدماتی,احسان گازار,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C-react-js-mk1127/,309000,0,138
33,آموزش React JS پیشرفته,احسان گازار,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-%D8%B1%DB%8C-%D8%A7%DA%A9%D8%AA-mk1128/,399000,0,178
